"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","isInCluster","geodeticDatum","class","countryCode","country","rightsHolder","identifier","http://unknown.org/nick","informationWithheld","verbatimEventDate","datasetName","gbifID","verbatimLocality","collectionCode","occurrenceID","taxonID","catalogNumber","recordedBy","http://unknown.org/occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","recordNumber","vernacularName","dataGeneralizations","taxonConceptID","occurrenceRemarks","locality","elevation","elevationAccuracy","depth","depthAccuracy","waterBody","type","ownerInstitutionCode","samplingProtocol","datasetID","nameAccordingTo","georeferenceSources","individualCount","otherCatalogNumbers","identificationRemarks","institutionKey","fieldNumber","projectId","programmeAcronym","eventID","samplingEffort","language","dynamicProperties","footprintWKT","bibliographicCitation","accessRights","coordinatePrecision","continent","organismQuantity","organismQuantityType","collectionKey","http://rs.tdwg.org/dwc/terms/organismQuantity","habitat","institutionID","nomenclaturalCode","georeferencedBy","preparations","disposition","http://rs.tdwg.org/dwc/terms/organismQuantityType","collectionID","higherGeography","locationID","startDayOfYear","higherClassification","locationRemarks","endDayOfYear","georeferenceProtocol","verbatimCoordinateSystem","name"
"3068009707","Tridacna gigas (Linnaeus, 1758)",-16.763107,145.878086,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:51:49.264+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU","2021-03-20T01:22:57",30795,"Queensland",2021,3,19,"2021-03-19T12:26:33","2021-05-15T22:41:11.000+00:00","2021-05-18T12:51:49.264+00:00","https://www.inaturalist.org/observations/71571352","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia","tjeales","71571352","tjeales","Coordinate uncertainty increased to 30795m to protect threatened taxon","Fri Mar 19 2021 12:26:33 GMT+1000 (GMT+10)","iNaturalist research-grade observations","3068009707","Queensland, AU","Observations","https://www.inaturalist.org/observations/71571352","114396","71571352","tjeales","https://www.inaturalist.org/observations/71571352","iNaturalist","© tjeales some rights reserved","02:26:33Z","joe_fish","160375823",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
"2809841548","Tridacna gigas (Linnaeus, 1758)",-18.6,146.5,"","e3ce628e-9683-4af7-b7a9-47eef785d3bb","17726825-3aa2-4fbc-b0e3-303d3fc5702f","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-07T22:46:14.443+00:00","2021-05-07T22:51:49.216+00:00",185,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU",NA,NA,"Queensland",2020,6,18,"2020-06-18T00:00:00",NA,"2021-05-07T22:51:49.216+00:00","https://biocache.ala.org.au/occurrences/d4bbd355-4047-4691-a6c8-6ca6bf144218","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia",NA,"d4bbd355-4047-4691-a6c8-6ca6bf144218",NA,NA,NA,NA,"2809841548",NA,NA,"d4bbd355-4047-4691-a6c8-6ca6bf144218",NA,NA,"<a href='https://bee.questagame.com/#/profile/21089?questagame_user_id=21089'>Mog | questagame.com</a>",NA,NA,NA,NA,"<a href='https://bee.questagame.com/#/profile/34890?questagame_user_id=34890'>Richard Willam A/C (Master)</a>",NA,"questagame-367716","Giant Clam","Identification aligned to national taxonomy. Originally supplied as [[ <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Tridacna gigas (Linnaeus, 1758)]]","urn:lsid:biodiversity.org.au:afd.taxon:c669dda8-a2fc-48f2-9391-1c46658a9a97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
"3039117164","Tridacna gigas (Linnaeus, 1758)",-20.021497,148.684165,"cdround,cudc,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:00:23.368+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU","2021-02-02T00:30:20",55637,NA,2020,11,4,"2020-11-04T16:59:00","2021-02-02T00:52:49.000+00:00","2021-05-18T12:00:23.368+00:00","https://www.inaturalist.org/observations/68907037","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia","lwoot","68907037","lwoot","Coordinate uncertainty increased to 55637m to protect threatened taxon","2020/11/04 4:59 PM AEST","iNaturalist research-grade observations","3039117164",NA,"Observations","https://www.inaturalist.org/observations/68907037","114396","68907037","lwoot","https://www.inaturalist.org/observations/68907037","iNaturalist","© lwoot some rights reserved","06:59:00Z","joe_fish","153059211",NA,NA,NA,NA,"1-1.5m length",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
"3067966262","Tridacna gigas (Linnaeus, 1758)",-16.88349,146.196972,"cdround,cudc,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T11:59:59.695+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU","2020-11-18T17:25:24",30780,NA,2020,11,9,"2020-11-09T00:00:00","2020-11-24T06:40:22.000+00:00","2021-05-18T11:59:59.695+00:00","https://www.inaturalist.org/observations/65141712","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia","Rolf Lawrenz","65141712","rlawrenz","Coordinate uncertainty increased to 30780m to protect threatened taxon","2020-11-09","iNaturalist research-grade observations","3067966262",NA,"Observations","https://www.inaturalist.org/observations/65141712","114396","65141712","Rolf Lawrenz","https://www.inaturalist.org/observations/65141712","iNaturalist","© Rolf Lawrenz some rights reserved",NA,"joe_fish","142367554",NA,NA,NA,NA,"DCIM\100GOPRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
"2005280626","Tridacna gigas (Linnaeus, 1758)",-16.00223,145.660028,"cdround,cudc,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:24:44.076+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU","2019-02-07T14:35:09",30841,NA,2019,1,18,"2019-01-18T21:41:00","2019-12-24T00:54:41.000+00:00","2021-05-18T12:24:44.076+00:00","https://www.inaturalist.org/observations/20119955","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia","smilelynaomi","20119955","smilelynaomi","Coordinate uncertainty increased to 30841m to protect threatened taxon","2019/01/18 9:41 PM +1100","iNaturalist research-grade observations","2005280626",NA,"Observations","https://www.inaturalist.org/observations/20119955","114396","20119955","smilelynaomi","https://www.inaturalist.org/observations/20119955","iNaturalist","© smilelynaomi some rights reserved","10:41:00Z","joe_fish","44753817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
"2294433910","Tridacna gigas (Linnaeus, 1758)",-18.704406,146.567636,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T11:58:44.903+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU","2019-06-30T10:44:55",30632,"Queensland",2019,6,30,"2019-06-30T16:02:00","2020-12-20T20:07:06.000+00:00","2021-05-18T11:58:44.903+00:00","https://www.inaturalist.org/observations/27921604","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia","apteryxrowi","27921604","apteryxrowi","Coordinate uncertainty increased to 30632m to protect threatened taxon","2019/06/30 4:02 PM EDT","iNaturalist research-grade observations","2294433910","Queensland, AU","Observations","https://www.inaturalist.org/observations/27921604","114396","27921604","apteryxrowi","https://www.inaturalist.org/observations/27921604","iNaturalist","© apteryxrowi some rights reserved","20:02:00Z","apteryxrowi","60822294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
"2350349234","Tridacna gigas (Linnaeus, 1758)",-18.625513,146.516869,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T11:58:52.491+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU","2019-08-10T01:43:14",30632,"Queensland",2019,6,30,"2019-06-30T00:00:00","2020-12-20T20:07:22.000+00:00","2021-05-18T11:58:52.491+00:00","https://www.inaturalist.org/observations/30516554","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia","apteryxrowi","30516554","apteryxrowi","Coordinate uncertainty increased to 30632m to protect threatened taxon","2019/06/30","iNaturalist research-grade observations","2350349234","Queensland, AU","Observations","https://www.inaturalist.org/observations/30516554","114396","30516554","apteryxrowi","https://www.inaturalist.org/observations/30516554","iNaturalist","© apteryxrowi some rights reserved",NA,"apteryxrowi","66158969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
"3059027271","Tridacna gigas (Linnaeus, 1758)",-14.904707,145.661855,"cdround,cudc,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:51:37.826+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU","2021-03-06T14:24:20",30927,NA,2019,6,30,"2019-06-30T12:17:00","2021-03-06T21:02:21.000+00:00","2021-05-18T12:51:37.826+00:00","https://www.inaturalist.org/observations/70659079","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia","David Novo","70659079","adnovo","Coordinate uncertainty increased to 30927m to protect threatened taxon","2019/06/30 12:17 PM AEST","iNaturalist research-grade observations","3059027271",NA,"Observations","https://www.inaturalist.org/observations/70659079","114396","70659079","David Novo","https://www.inaturalist.org/observations/70659079","iNaturalist","© David Novo some rights reserved","02:17:00Z","joe_fish","158036211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
"3061623122","Tridacna gigas (Linnaeus, 1758)",-15.329945,145.737769,"cdround,cudc,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:27:48.437+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU","2021-03-15T03:23:33",30899,NA,2019,6,28,"2019-06-28T17:37:00","2021-03-16T10:39:22.000+00:00","2021-05-18T12:27:48.437+00:00","https://www.inaturalist.org/observations/71254645","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia","David Novo","71254645","adnovo","Coordinate uncertainty increased to 30899m to protect threatened taxon","2019/06/28 5:37 PM AEST","iNaturalist research-grade observations","3061623122",NA,"Observations","https://www.inaturalist.org/observations/71254645","114396","71254645","David Novo","https://www.inaturalist.org/observations/71254645","iNaturalist","© David Novo some rights reserved","07:37:00Z","Anne Hoggett","159566270",NA,NA,NA,NA,"Few (2-10) individuals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
"2397655866","Tridacna gigas (Linnaeus, 1758)",-14.614367,145.418467,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T11:58:49.301+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU","2019-09-01T09:13:40",30941,"Queensland",2019,7,12,"2019-07-12T22:23:00","2019-12-24T00:40:50.000+00:00","2021-05-18T11:58:49.301+00:00","https://www.inaturalist.org/observations/31904646","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia","wconnor19","31904646","wconnor19","Coordinate uncertainty increased to 30941m to protect threatened taxon","2019/07/12 10:23 PM HST","iNaturalist research-grade observations","2397655866","Queensland, AU","Observations","https://www.inaturalist.org/observations/31904646","114396","31904646","wconnor19","https://www.inaturalist.org/observations/31904646","iNaturalist","© wconnor19 some rights reserved","08:23:00Z","wconnor19","69149674",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
"2397687854","Tridacna gigas (Linnaeus, 1758)",-14.608472,145.437074,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:25:13.779+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU","2019-09-01T09:13:40",30941,"Queensland",2019,7,12,"2019-07-12T22:23:00","2019-12-24T00:41:00.000+00:00","2021-05-18T12:25:13.779+00:00","https://www.inaturalist.org/observations/31904645","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia","wconnor19","31904645","wconnor19","Coordinate uncertainty increased to 30941m to protect threatened taxon","2019/07/12 10:23 PM HST","iNaturalist research-grade observations","2397687854","Queensland, AU","Observations","https://www.inaturalist.org/observations/31904645","114396","31904645","wconnor19","https://www.inaturalist.org/observations/31904645","iNaturalist","© wconnor19 some rights reserved","08:23:00Z","wconnor19","69149672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
"2883238566","Tridacna gigas (Linnaeus, 1758)",-16.482008,145.960208,"cdround,cudc,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T11:59:59.738+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU","2020-10-06T02:46:24",30810,NA,2019,7,20,"2019-07-20T19:08:00","2020-12-20T20:06:30.000+00:00","2021-05-18T11:59:59.738+00:00","https://www.inaturalist.org/observations/61832932","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia","liquidus","61832932","liquidus","Coordinate uncertainty increased to 30810m to protect threatened taxon","2019/07/20 7:08 PM UTC","iNaturalist research-grade observations","2883238566",NA,"Observations","https://www.inaturalist.org/observations/61832932","114396","61832932","liquidus","https://www.inaturalist.org/observations/61832932","iNaturalist","© liquidus some rights reserved","19:08:00Z","joe_fish","134838653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
"2429374195","Tridacna gigas (Linnaeus, 1758)",-14.635999,145.42321,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:25:24.814+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU","2019-10-04T20:01:25",30941,"Queensland",2019,8,27,"2019-08-27T15:53:00","2020-12-20T20:04:02.000+00:00","2021-05-18T12:25:24.814+00:00","https://www.inaturalist.org/observations/33856995","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia","Bernat Garrigós","33856995","bernatpescaire","Coordinate uncertainty increased to 30941m to protect threatened taxon","2019-08-27T13:53:00+00:00","iNaturalist research-grade observations","2429374195","Queensland, AU","Observations","https://www.inaturalist.org/observations/33856995","114396","33856995","Bernat Garrigós","https://www.inaturalist.org/observations/33856995","iNaturalist","© Bernat Garrigós some rights reserved","13:53:00Z","Bernat Garrigós","73353699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
"2860182803","Tridacna gigas (Linnaeus, 1758)",-16.379552,146.598778,"cdround,cudc,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:51:40.487+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU","2020-08-29T21:52:40",30826,NA,2019,8,30,"2019-08-30T00:00:00","2020-12-20T20:03:38.000+00:00","2021-05-18T12:51:40.487+00:00","https://www.inaturalist.org/observations/57941776","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia","joyliz","57941776","joyliz","Coordinate uncertainty increased to 30826m to protect threatened taxon","2019-08-30","iNaturalist research-grade observations","2860182803",NA,"Observations","https://www.inaturalist.org/observations/57941776","114396","57941776","joyliz","https://www.inaturalist.org/observations/57941776","iNaturalist","© joyliz some rights reserved",NA,"Anne Hoggett","126947522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
"2429265198","Tridacna gigas (Linnaeus, 1758)",-16.423306,145.811378,"cdround,cudc,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:25:42.141+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU","2019-09-27T06:40:09",30810,NA,2019,9,8,"2019-09-08T15:03:00","2020-12-20T20:02:58.000+00:00","2021-05-18T12:25:42.141+00:00","https://www.inaturalist.org/observations/33469363","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia","Annika T","33469363","tayloab","Coordinate uncertainty increased to 30810m to protect threatened taxon","2019/09/08 3:03 PM AEST","iNaturalist research-grade observations","2429265198",NA,"Observations","https://www.inaturalist.org/observations/33469363","114396","33469363","Annika T","https://www.inaturalist.org/observations/33469363","iNaturalist","© Annika T some rights reserved","05:03:00Z","Annika T","72467126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
