"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","stateProvince","year","month","day","eventDate","lastInterpreted","references","license","isInCluster","geodeticDatum","class","countryCode","country","recordNumber","identifier","recordedBy","vernacularName","dataGeneralizations","taxonConceptID","gbifID","occurrenceID","identifiedBy","dateIdentified","coordinateUncertaintyInMeters","modified","rightsHolder","http://unknown.org/nick","informationWithheld","verbatimEventDate","datasetName","verbatimLocality","collectionCode","taxonID","catalogNumber","http://unknown.org/occurrenceDetails","institutionCode","rights","eventTime","identificationRemarks","occurrenceRemarks","identificationID","locality","individualCount","depth","eventID","footprintWKT","county","identificationVerificationStatus","originalNameUsage","datasetID","nameAccordingTo","depthAccuracy","institutionKey","fieldNumber","elevation","elevationAccuracy","waterBody","type","ownerInstitutionCode","samplingProtocol","georeferenceSources","georeferenceProtocol","island","dynamicProperties","eventRemarks","materialSampleID","language","associatedSequences","lifeStage","establishmentMeans","projectId","programmeAcronym","samplingEffort","preparations","disposition","otherCatalogNumbers","locationRemarks","collectionKey","institutionID","higherGeography","locationID","startDayOfYear","higherClassification","endDayOfYear","verbatimCoordinateSystem","continent","islandGroup","higherGeographyID","nomenclaturalCode","georeferencedBy","georeferenceVerificationStatus","georeferenceRemarks","habitat","locationAccordingTo","georeferencedDate","organismID","previousIdentifications","identificationQualifier","accessRights","collectionID","name"
"3031215318","Tridacna squamosa Lamarck, 1819",-20.3,149,"","e3ce628e-9683-4af7-b7a9-47eef785d3bb","17726825-3aa2-4fbc-b0e3-303d3fc5702f","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-07T22:46:14.443+00:00","2021-05-07T22:51:43.609+00:00",185,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","HUMAN_OBSERVATION","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED","Queensland",2021,1,11,"2021-01-11T00:00:00","2021-05-07T22:51:43.609+00:00","https://biocache.ala.org.au/occurrences/153a3f16-1b56-4e6b-b421-cde3ff00b5e1","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia","questagame-411687","153a3f16-1b56-4e6b-b421-cde3ff00b5e1","<a href='https://bee.questagame.com/#/profile/26177?questagame_user_id=26177'>Eskil | questagame.com</a>","Scaly Clam","Identification aligned to national taxonomy. Originally supplied as [[ <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Tridacna squamosa Lamarck  1819]]","urn:lsid:biodiversity.org.au:afd.taxon:2c3780de-d81c-4136-99b7-3202460a97fb","3031215318","153a3f16-1b56-4e6b-b421-cde3ff00b5e1","<a href='https://bee.questagame.com/#/profile/34890?questagame_user_id=34890'>Richard Willan A/C (Master)</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
"2563570991","Tridacna squamosa Lamarck, 1819",-9.412663,147.351731,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:25:23.003+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED","Central",2020,1,19,"2020-01-19T12:26:00","2021-05-18T12:25:23.003+00:00","https://www.inaturalist.org/observations/37904475","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","PG","Papua New Guinea",NA,"37904475","Jens Sommer-Knudsen",NA,NA,NA,"2563570991","https://www.inaturalist.org/observations/37904475","joe_fish","2020-01-24T03:28:44",31236,"2020-03-24T06:15:31.000+00:00","Jens Sommer-Knudsen","jenssommer01","Coordinate uncertainty increased to 31236m to protect threatened taxon","2020/01/19 12:26 PM AEDT","iNaturalist research-grade observations","Central, PG","Observations","50591","37904475","https://www.inaturalist.org/observations/37904475","iNaturalist","© Jens Sommer-Knudsen some rights reserved","01:26:00Z","large size... large scutes","This is obvioulsy dead, so ID might not be possible... It was probably 30-40 cm in length","84756283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
"2874839328","Tridacna squamosa Lamarck, 1819",-14.645996,145.455684,"","c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3","770c30d2-c2a8-4bb2-8056-6167297cddae","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-07T20:56:00.849+00:00","2021-05-07T20:59:24.900+00:00",170,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","HUMAN_OBSERVATION","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED","Queensland",2020,8,8,"2020-08-08T00:00:00","2021-05-07T20:59:24.900+00:00","https://biocache.ala.org.au/occurrences/70918941-c36c-40bc-bd61-9e9b7f733fe9","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia",NA,"70918941-c36c-40bc-bd61-9e9b7f733fe9","Anne Hoggett","Scaly Clam","Identification aligned to national taxonomy. Originally supplied as [[ Animalia | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Tridacna squamosa]]","urn:lsid:biodiversity.org.au:afd.taxon:2c3780de-d81c-4136-99b7-3202460a97fb","2874839328","70918941-c36c-40bc-bd61-9e9b7f733fe9","Anne Hoggett",NA,24.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:lirs.australianmuseum.net.au:identification:NHcZOCMs",NA,NA,NA,NA,NA,"http://lifg.australianmuseum.net.au/HotSpot.html?identification=NHcZOCMs",NA,"Lizard island, Queensland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
"2883052920","Tridacna squamosa Lamarck, 1819",-14.76011,145.545896,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:51:24.892+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED","Queensland",2020,10,3,"2020-10-03T12:10:00","2021-05-18T12:51:24.892+00:00","https://www.inaturalist.org/observations/61545507","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia",NA,"61545507","Anne Hoggett",NA,NA,NA,"2883052920","https://www.inaturalist.org/observations/61545507","Anne Hoggett","2020-10-03T08:00:07",30941,"2020-10-03T16:33:11.000+00:00","Anne Hoggett","anne47","Coordinate uncertainty increased to 30941m to protect threatened taxon","2020/10/03 12:10 PM AEST","iNaturalist research-grade observations","Queensland, AU","Observations","50591","61545507","https://www.inaturalist.org/observations/61545507","iNaturalist","© Anne Hoggett some rights reserved","02:10:00Z",NA,NA,"134255910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
"2978450301","Tridacna squamosa Lamarck, 1819",-14.646754,145.451952,"","c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3","770c30d2-c2a8-4bb2-8056-6167297cddae","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-07T20:56:00.849+00:00","2021-05-07T20:59:22.282+00:00",170,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","HUMAN_OBSERVATION","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED","Queensland",2020,10,3,"2020-10-03T00:00:00","2021-05-07T20:59:22.282+00:00","https://biocache.ala.org.au/occurrences/d94da838-c072-4835-b391-879758e63ce8","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia",NA,"d94da838-c072-4835-b391-879758e63ce8","Anne Hoggett","Scaly Clam","Identification aligned to national taxonomy. Originally supplied as [[ Animalia | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Tridacna squamosa]]","urn:lsid:biodiversity.org.au:afd.taxon:2c3780de-d81c-4136-99b7-3202460a97fb","2978450301","d94da838-c072-4835-b391-879758e63ce8","Anne Hoggett",NA,57.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:lirs.australianmuseum.net.au:identification:mwJPrd2y",NA,NA,NA,NA,NA,"http://lifg.australianmuseum.net.au/HotSpot.html?identification=mwJPrd2y",NA,"Lizard Island, Queensland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
"3039306975","Tridacna squamosa Lamarck, 1819",-20.690129,167.125532,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:00:14.129+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED","Îles Loyauté",2020,11,18,"2020-11-18T09:10:00","2021-05-18T12:00:14.129+00:00","https://www.inaturalist.org/observations/69354283","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","NC","New Caledonia",NA,"69354283","Pierre-Louis Stenger",NA,NA,NA,"3039306975","https://www.inaturalist.org/observations/69354283","Pierre-Louis Stenger","2021-02-10T06:09:31",30453,"2021-02-11T01:50:22.000+00:00","Pierre-Louis Stenger","pl_stenger","Coordinate uncertainty increased to 30453m to protect threatened taxon","2020/11/18 9:10 AM +1100","iNaturalist research-grade observations","Îles Loyauté, NC","Observations","50591","69354283","https://www.inaturalist.org/observations/69354283","iNaturalist","© Pierre-Louis Stenger some rights reserved","22:10:00Z",NA,NA,"154236796",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
"3039495093","Tridacna squamosa Lamarck, 1819",-20.756383,167.086895,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:26:42.044+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED","Îles Loyauté",2020,11,18,"2020-11-18T10:53:00","2021-05-18T12:26:42.044+00:00","https://www.inaturalist.org/observations/69402788","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","NC","New Caledonia",NA,"69402788","Pierre-Louis Stenger",NA,NA,NA,"3039495093","https://www.inaturalist.org/observations/69402788","joe_fish","2021-02-11T13:33:08",30453,"2021-02-11T22:22:41.000+00:00","Pierre-Louis Stenger","pl_stenger","Coordinate uncertainty increased to 30453m to protect threatened taxon","2020/11/18 10:53 AM +1100","iNaturalist research-grade observations","Îles Loyauté, NC","Observations","50591","69402788","https://www.inaturalist.org/observations/69402788","iNaturalist","© Pierre-Louis Stenger some rights reserved","23:53:00Z",NA,NA,"154401716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
"3061719729","Tridacna squamosa Lamarck, 1819",-20.713087,164.03031,"cdround,cudc,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:00:37.656+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED",NA,2020,11,30,"2020-11-30T11:58:00","2021-05-18T12:00:37.656+00:00","https://www.inaturalist.org/observations/71104718","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","NC","New Caledonia",NA,"71104718","Pierre-Louis Stenger",NA,NA,NA,"3061719729","https://www.inaturalist.org/observations/71104718","joe_fish","2021-03-13T04:53:42",30453,"2021-03-13T05:24:07.000+00:00","Pierre-Louis Stenger","pl_stenger","Coordinate uncertainty increased to 30453m to protect threatened taxon","2020/11/30 11:58 AM +1100","iNaturalist research-grade observations",NA,"Observations","50591","71104718","https://www.inaturalist.org/observations/71104718","iNaturalist","© Pierre-Louis Stenger some rights reserved","00:58:00Z",NA,NA,"159193462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
"2883131297","Tridacna squamosa Lamarck, 1819",-16.401411,145.839421,"cdround,cudc,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:26:42.215+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED",NA,2019,7,20,"2019-07-20T18:45:00","2021-05-18T12:26:42.215+00:00","https://www.inaturalist.org/observations/61832929","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia",NA,"61832929","liquidus",NA,NA,NA,"2883131297","https://www.inaturalist.org/observations/61832929","joe_fish","2020-10-06T02:46:35",30810,"2020-10-06T03:09:59.000+00:00","liquidus","liquidus","Coordinate uncertainty increased to 30810m to protect threatened taxon","2019/07/20 6:45 PM UTC","iNaturalist research-grade observations",NA,"Observations","50591","61832929","https://www.inaturalist.org/observations/61832929","iNaturalist","© liquidus some rights reserved","18:45:00Z",NA,NA,"134838673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
"2447965356","Tridacna squamosa Lamarck, 1819",-17.006601,179.118228,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T11:59:00.750+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED","Northern",2019,10,9,"2019-10-09T07:59:00","2021-05-18T11:59:00.750+00:00","https://www.inaturalist.org/observations/34989537","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","FJ","Fiji",NA,"34989537","Mark Rosenstein",NA,NA,NA,"2447965356","https://www.inaturalist.org/observations/34989537","joe_fish","2019-10-28T02:54:38",30764,"2019-12-24T21:20:14.000+00:00","Mark Rosenstein","maractwin","Coordinate uncertainty increased to 30764m to protect threatened taxon","2019/10/09 7:59 AM EDT","iNaturalist research-grade observations","Northern, FJ","Observations","50591","34989537","https://www.inaturalist.org/observations/34989537","iNaturalist","© Mark Rosenstein some rights reserved","11:59:00Z",NA,NA,"75968692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
"2447978210","Tridacna squamosa Lamarck, 1819",-18.102187,179.308071,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T11:58:57.123+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED","Eastern",2019,10,10,"2019-10-10T08:33:00","2021-05-18T11:58:57.123+00:00","https://www.inaturalist.org/observations/35034635","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","FJ","Fiji",NA,"35034635","Mark Rosenstein",NA,NA,NA,"2447978210","https://www.inaturalist.org/observations/35034635","joe_fish","2019-10-29T02:48:50",30683,"2019-12-24T21:34:43.000+00:00","Mark Rosenstein","maractwin","Coordinate uncertainty increased to 30683m to protect threatened taxon","2019/10/10 8:33 AM EDT","iNaturalist research-grade observations","Eastern, FJ","Observations","50591","35034635","https://www.inaturalist.org/observations/35034635","iNaturalist","© Mark Rosenstein some rights reserved","12:33:00Z",NA,NA,"76079941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
"2576252274","Tridacna squamosa Lamarck, 1819",-9.047142,159.303749,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:25:19.180+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED","Central",2019,10,17,"2019-10-17T13:03:00","2021-05-18T12:25:19.180+00:00","https://www.inaturalist.org/observations/39243727","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","SB","Solomon Islands",NA,"39243727","craigjhowe",NA,NA,NA,"2576252274","https://www.inaturalist.org/observations/39243727","joe_fish","2020-02-26T15:57:31",31254,"2020-02-26T20:58:53.000+00:00","craigjhowe","craigjhowe","Coordinate uncertainty increased to 31254m to protect threatened taxon","2019/10/17 1:03 PM EDT","iNaturalist research-grade observations","Solomon Islands","Observations","50591","39243727","https://www.inaturalist.org/observations/39243727","iNaturalist","© craigjhowe some rights reserved","17:03:00Z",NA,NA,"88472287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
"2825370893","Tridacna squamosa Lamarck, 1819",-14.663203,145.664341,"cudc","c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3","770c30d2-c2a8-4bb2-8056-6167297cddae","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-07T20:56:00.849+00:00","2021-05-07T20:59:24.591+00:00",170,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","HUMAN_OBSERVATION","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED",NA,2019,12,1,"2019-12-01T00:00:00","2021-05-07T20:59:24.591+00:00","https://biocache.ala.org.au/occurrences/0b04fc19-efb4-41e1-bf96-22081dad8a86","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia",NA,"0b04fc19-efb4-41e1-bf96-22081dad8a86","Anne Hoggett","Scaly Clam","Identification aligned to national taxonomy. Originally supplied as [[ Animalia | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Tridacna squamosa]]","urn:lsid:biodiversity.org.au:afd.taxon:2c3780de-d81c-4136-99b7-3202460a97fb","2825370893","0b04fc19-efb4-41e1-bf96-22081dad8a86","Anne Hoggett",NA,95.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:lirs.australianmuseum.net.au:identification:Qp0BynUE",NA,NA,NA,NA,NA,"http://lifg.australianmuseum.net.au/HotSpot.html?identification=Qp0BynUE",NA,"Ribbon Reef 10, Queensland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
