"presence","x","y","cells","BO2_salinitymean_bdmax","BO2_tempmin_bdmax","BO2_tempmax_bdmax","BO2_temprange_bdmax","BO21_curvelmax_bdmax","BO_bathymax","MS_biogeo06_bathy_slope_5m","MS_biogeo01_aspect_EW_5m","MS_bathy_5m","MS_biogeo05_dist_shore_5m","MS_biogeo02_aspect_NS_5m","Protected_Areas"
1,145.791666666667,-16.875,3334,35.0218124389648,22.6469688415527,29.5523128509521,6.9053430557251,0.324738681316376,231,0,0.409999996423721,-3,3,0.540000021457672,5
1,145.458333333333,-16.4583333333333,2970,35.0071907043457,22.6414451599121,29.4992923736572,6.85784816741943,0.292553693056107,34,0.00999999977648258,0.569999992847443,-7,4,0.419999986886978,3.47302698949867
1,148.291666666667,-20.0416666666667,6100,35.1380462646484,21.2018737792969,29.2515449523926,8.0496711730957,0.327947199344635,29,0.00999999977648258,0.389999985694885,-8,3,0.5,NA
1,145.458333333333,-16.125,2682,34.9686584472656,23.0145702362061,29.4152946472168,6.40072393417358,0.272825539112091,953,0.0299999993294477,0.759999990463257,-12,3,-0.0299999993294477,5
1,145.708333333333,-16.875,3333,NA,NA,NA,NA,NA,NA,0.00999999977648258,0.629999995231628,-2,1,0.769999980926514,NA
1,146.875,-19.2916666666667,5435,35.0621109008789,21.3565254211426,29.5996913909912,8.24316596984863,0.332809805870056,88,0.0799999982118607,0.349999994039536,-37,3,-0.349999994039536,NA
1,145.208333333333,-14.7083333333333,1455,34.8914604187012,23.5485095977783,29.4766006469727,5.92809200286865,0.402710795402527,2,0.00999999977648258,0.209999993443489,-9,8,-0.00999999977648258,4.45581078438169
1,145.708333333333,-16.7916666666667,3261,35.0208129882812,22.618335723877,29.5155353546143,6.89719867706299,0.35833153128624,424,0.00999999977648258,0.579999983310699,-7,2,0.629999995231628,5
1,145.791666666667,-16.9583333333333,3406,NA,NA,NA,NA,NA,NA,0.00999999977648258,0.910000026226044,-3,1,-0.28999999165535,NA
1,144.958333333333,-14.7916666666667,1524,34.8750495910645,23.1997222900391,29.5346755981445,6.33495330810547,0.420927375555038,139,0.0199999995529652,0.449999988079071,-1,1,0.889999985694885,NA
